text	code	weight	stem	decomposition
𬚳	ahb		ahb	⿸𠃜月
𣋉	ahbk		ahbk	⿰日奥
𣋉	ahbk		ahbk	⿰日奧
㫼	ahbn	1	ahbn	⿰日制
𪰮	ahbn		ahbn	⿱日制
晌	ahbr	2	ahb'r	⿰日向
晑	ahbr	1	ahbr	⿱日向
𱢲	ahbs		ahbs	
眉	ahbu	2	ahbu	⿸𠃜目
𣆢	ahbu		ahbu	⿱日⿻丿目
𮙸	ahbuc		ahbuc	⿸𠃜貝
𮚯	ahbuc		ahbuc	⿱眉⿰貞貞
𣆔	ahby		ahby	⿰日舟
𥂺	ahcmt		ahcmt	⿰易益
𱢋	ahdd		ahdd	
𩔏	ahdmz		ahd/mz	⿰⿱日禾頁
𭦏	ahdn		ahdn	⿰日利
昄	ahe	2	ahe	⿰日反
𠬩	ahe		ahe	⿸𠃜又
𠬮	ahe		ahe	⿰𠃜又
𣇔	ahej		ahej	⿰日夆
昸	ahem	1	ahem	⿰日冬
㫡	ahem		ahem	⿱日冬
𰖋	aheo		aheo	
𪰠	aheq		aheq	⿰日夅
𭥵	aher		aher	⿰日各
𰖶	ahet		ahet	
𭧐	aheu		aheu	⿰日𡕚
昸	ahey	1	ahey	⿰日冬
㫡	ahey		ahey	⿱日冬
𤈌	ahf	1	ahf	⿱旫灬
𡮤	ahf		ahf	⿰閉小
𰪰	ahfd		ahfd	
𡮩	ahfh		ahfh	⿰閉少
𱏭	ahfu		ahfu	
𣊩	ahfw		ahfw	⿰日番
晧	ahgr		ahgr	⿰日告
晧	ahgr		ahgr	⿰日吿
𰖅	ahgu		ahgu	
𦤋	ahhbu		ahhbu	⿸𠃜自
𥟟	ahhd	1	ahhd	⿰⿱旦彡禾
𥟙	ahhd		ahhd	⿰⿳日乛彡禾
𢒗	ahhhh		ahhhh	⿰易彡
𣉧	ahhk		ahhk	⿰日笑
𣂨	ahhml		ahhml	⿰易斤
𭥥	ahhn		ahhn	⿰日⿱彡几
䬗	ahhni		ahhni	⿰昜風
𣉺	ahhqo		ahhqo	⿰昜失
𰖝	ahhw		ahhw	
㦹	ahi		ahi	⿰昜戈
𣋇	ahiei		ahiei	⿰昜対
𣉷	ahifu		ahifu	⿰易礼
𣉝	ahij		ahij	⿰易戎
𣉝	ahik		ahik	⿰易戎
𣆅	ahio		ahio	⿰日乏
𣆦	ahjd		ahjd	⿰日朱
𪰴	ahje		ahje	⿰日段
曛	ahjf	1	ahjf	⿰日熏
𣊳	ahjf		ahjf	⿰日⿱⑧灬
𬁇	ahjg		ahjg	⿰日重
𣇦	ahjm		ahjm	⿰日垂
𭥹	ahjr		ahjr	⿰日舌
𮲝	ahk		ahk	
㬖	ahkr		ahkr	⿰日啓
𣈭	ahlb		ahlb	⿰日禹
𣌒	ahlgi		ahlgi	⿰易對
𮭅	ahlhz		ahl/hz	⿰昴鳥
𪰢	ahll	1	ahll	⿰日州
𣌮	ahll		ahll	⿱曰州
𭦡	ahlo		ahlo	⿰日欣
𱢡	ahmam		ahmam	
𱢄	ahmc		ahmc	
𣉷	ahmfu		ahmfu	⿰易礼
𭦵	ahmg		ahmg	⿰日垕
𣈨	ahmj		ahmj	⿰日竿
昕	ahml		ahml	⿰日斤
𭧜	ahnd		ahnd	⿰日梨
𰕶	ahne		ahne	
𭧞	ahnh		ahnh	⿰日第
𣈼	ahni		ahni	⿰日風
𣈟	ahnj		ahnj	⿰昜卂
𣆎	ahnq		ahnq	⿱日𠂡
㫟	ahnr		ahnr	⿰日⿱𠘧口
㫟	ahnr		ahnr	⿰日⿱儿口
㫟	ahnr		ahnr	⿰日㕣
𣌿	ahoa		ahoa	⿱日昝
𣉹	ahod		ahod	⿱日徐
𬁊	ahod		ahod	⿰日徐
暀	ahog	1	ahog	⿰日往
𣈧	ahog		ahog	⿰日𢓸
𰖿	ahog		ahog	
𥏬	ahok		ahok	⿰昜矢
𣊗	ahol		ahol	⿰日御
𣇭	ahom		ahom	⿰日徃
𣆯	ahon		ahon	⿰日行
暰	ahoo		ahoo	⿰日從
晷	ahor	1	ahor	⿱日咎
𱢩	ahor		ahor	
𭧮	ahos		ahos	⿰日⿳丿𠈌亐
𭦶	ahov		ahov	⿰日很
𣅒	ahp		ahp	⿰日乇
𭝓	ahp		ahp	⿱昒心
𭧚	ahpdk		ahpdk	⿰易快
𫛂	ahphz		ahp/hz	⿰⿱日氏鳥
𰖄	ahpl		ahpl	
𣅫	ahq		ahq	⿰日牛
𤘵	ahq		ahq	⿱日牛
𣇕	ahqi		ahqi	⿰日我
星	ahqm	1	ahqm	⿱日生
甠	ahqm		ahqm	⿰日生
昳	ahqo		ahqo	⿰日失
𰑶	ahqp		ahqp	
晧	ahqr		ahqr	⿰日告
晧	ahqr		ahqr	⿰日吿
𪰌	ahqu		ahqu	⿰日毛
㬖	ahrk		ahrk	⿰日啓
𣈛	ahrn		ahrn	⿰日刮
昈	ahs		ahs	⿰日户
昈	ahs		ahs	⿰日戶
𣉥	ahse		ahse	⿰日殷
𭨌	ahsf		ahsf	⿰日勲
𭧺	ahsfd		ahsfd	⿰易屎
曒	ahsk		ahsk	⿰日敫
㫹	ahsl		ahsl	⿱日所
𭦢	ahsl		ahsl	⿱日⿰④斤
𣇯	ahss		ahss	⿱日𢨯
𰭤	ahss		ahss	
𱢅	ahsu		ahsu	
𠕣	ahsx		ahsx	⿱冃臽
昇	aht	2	aht	⿱日升
𣅮	aht		aht	⿰日升
𪞋	ahtc		ahtc	⿱⿰皀彡共
𥂺	ahtct		ahtct	⿰易益
𣇲	ahua		ahua	⿰日昏
𰖽	ahuc		ahuc	
暞	ahud		ahud	⿰日臬
鶥	ahuhz		ahu/hz	⿰眉鳥
㫝	ahui		ahui	⿰日氐
曍	ahuj		ahuj	⿰日臯
昂	ahul		ahul	⿱日卬
㫝	ahum		ahum	⿰日氐
郿	ahunl		ahu/nl	⿰眉阝
𣊊	ahuz		ahuz	⿰日𦤎
昴	ahvl	1	ahvl	⿱日卯
𬁋	ahvl		ahvl	⿱日卿
𪱁	ahwg		ahwg	⿰易里
𣉨	ahwi		ahwi	⿰日鬼
𣈢	ahwj		ahwj	⿰日卑
𣌿	ahya		ahya	⿱日昝
𣋇	ahyki		ahyki	⿰昜対
晷	ahyr		ahyr	⿱日咎
𭧘	ahz		a/hz	⿰日鳥
旷	ai		ai	⿰日广
𮲜	ai		ai	
𣈗	aia		aia	⿰㝵日
㫰	aiav		aiav	⿰日良
㬍	aibi		aibi	⿰日尃
𥋹	aibup		aibup	⿰㝵眠
晙	aice		aice	⿰日夋
𭦕	aice		aice	⿱日夋
𣋟	aici	1	aici	⿰日麼
𣊍	aidd		aidd	⿰日麻
𣋟	aidi	2	aidi	⿰日麼
𡬠	aidi	1	aidi	⿰⑤寸
𬊏	aif		aif	⿱旳灬
𣇚	aife		aife	⿰日⿱厼又
㬕	aifq		aifq	⿰日祥
𣆮	aig		aig	⿰日庄
𣆈	aih		aih	⿰日戊
𣆭	aihi	1	aihi	⿱日戍
𣆒	aihi		aihi	⿰日戍
𱢟	aihn		aihn	
𣮊	aihqu		aihqu	⿰㝵毛
晟	aihs	2	aihs	⿱日成
晠	aihs	1	aihs	⿰日成
𠕠	aihs		aihs	⿱冃成
𭥠	aihu		aihu	⿱日允
𱢏	aihv		aihv	
𱉝	aihym		aihym	
鵖	aihz		ai/hz	⿰⑤鳥
鵖	aihz		ai/hz	⿰皀鳥
昿	aii		aii	⿰日広
𱢞	aiib		aiib	
𬁈	aiil		aiil	⿰日郎
晡	aijb		aijb	⿰日甫
𣊍	aijc		aijc	⿰日麻
𪰽	aijj		aijj	⿰日庫
𣅤	aik		aik	⿰日犬
𮲛	aik		aik	
㬙	aikf		aikf	⿰日爲
昽	aikp		aikp	⿰日龙
㬖	aikr		aikr	⿰日啓
𪟙	aiks		ai/ks	⿰皀力
𱡼	aiks		aiks	
𣈠	aikt		aikt	⿳日厶㚏
𭧠	aile		aile	⿰日康
𪰢	aill	1	aill	⿰日州
𣌮	aill		aill	⿱曰州
𪰼	ailr		ailr	⿰日唐
𣇝	aimi		aimi	⿰日冷
𣇝	aiml		aiml	⿰日冷
𣇈	aimu		aimu	⿰日⿱戈兀
𭥊	aimuj		aimuj	⿰既逢
𤮦	aimun		aimun	⿰曇瓦
𬎬	aimun		aimun	⿰昙瓦
既	aimvu		aimvu	⿰⑤旡
䫀	aimz		ai/mz	⿰⑤頁
䫀	aimz		ai/mz	⿰艮頁
𣢣	aino		ai/no	⿰⑤欠
𠊛	aio		aio	⿰㝵人
𭦥	aioi		aioi	⿰日府
𱢈	aiok		aiok	
𫴮	aiomm		aiomm	⿰㝵仁
𭔳	aipd		aipd	⿰㝵也
𣋳	aipf		aipf	⿰日麃
𪰜	aipm		aipm	⿰日式
𭥿	aiq		aiq	⿰日⿱厶㐄
𣅿	air		air	⿰日台
㬃	airf		airf	⿱日炱
㬖	airk		airk	⿰日啓
𠘀	airm		airm	⿱⿳日丨口冭
𠘀	airy		airy	⿱⿳日丨口冭
昈	ais		ais	⿰日户
昈	ais		ais	⿰日戶
昹	aise	1	aise	⿰日永
㫤	aise		aise	⿱日𣱳
㫤	aise		aise	⿱日永
𠮊	aisje		aisje	⿰㝵取
即	aisl		aisl	⿰⑤卩
𱉼	aislm		aislm	
䳭	aislz		aislz	⿰即鳥
䳭	aislz		aislz	⿰卽鳥
𣇯	aiss		aiss	⿱日𢨯
昪	ait		ait	⿱日弁
曠	aitc	1	aitc	⿰日廣
𣋷	aitc		aitc	⿱日廣
𬁛	aitc		aitc	⿰日廉
𣌏	aitoe		aitoe	⿰㝵蒦
𣊈	aixp		aixp	⿰日鹿
𣈘	aiyr	1	aiyr	⿰日店
𣈔	aiyr		aiyr	⿱日店
早	aj	2	aj	⿱日十
曱	aj	1	aj	曱
旪	aj		aj	⿰日十
𨷝	ajamu		ajamu	⿰聞𭥖
昁	ajb		ajb	⿰日巿
昁	ajb		ajb	⿰日市
𭧃	ajbbe		ajbbe	⿰早受
𣉮	ajbc		ajbc	⿱日真
𭦬	ajbc		ajbc	⿰日真
㫲	ajbd		ajbd	⿰日孛
暔	ajbl	2	ajb'l	⿰日南
𣈍	ajbm	1	ajbm	⿱日宜
𣇣	ajbm		ajbm	⿱日直
𬁁	ajbm		ajbm	⿰日宜
𣇣	ajbv		ajbv	⿱日直
𭦿	ajce		ajce	⿰日⿱穴友
𭦿	ajce		ajce	⿰日𥥛
𣈞	ajcm		ajcm	⿰日空
𣋶	ajcn	1	ajcn	⿱日窮
𣇬	ajcn		ajcn	⿰日穹
𭦒	ajcn		ajcn	⿰日究
𬁎	ajcr		ajcr	⿰日容
昧	ajd	1	ajd	⿰日未
𣇆	ajd		ajd	⿱日宋
𤿧	ajdhe		ajdhe	⿰旱皮
𭥢	aje		aje	⿱日𣱵
𱡺	aje		aje	
𪸣	ajf		ajf	⿱早灬
𣋪	ajfc		ajfc	⿰日賓
𬁄	ajgo		ajgo	⿱早坎
𭦞	ajhgu		ajhgu	⿰早先
𪫉	ajhhh		ajhhh	⿰⿳日亠早彡
𪫉	ajhhh		ajhhh	⿰彦彡
𣇟	ajhq		ajhq	⿱日牢
𬀵	ajhqo		ajhqo	⿰早失
𣭸	ajhqu		ajhqu	⿰旱毛
𰖸	ajhw		ajhw	
𱉶	ajhym		ajhym	
𢧀	aji		aji	⿰旱戈
𭧄	ajiav		ajiav	⿰旱良
𰖺	ajic		ajic	
𰖜	ajid		ajid	
𭧧	ajii		ajii	⿰日博
𰍯	ajiku		ajiku	
𣈻	ajir		ajir	⿰日哉
𣊿	ajjb		ajjb	⿰日朝
𣋂	ajjb		ajjb	⿱日朝
𢻣	ajje		ajje	⿰⿳𭥐口十支
𣊙	ajjl		ajjl	⿰日斬
曢	ajkf		ajkf	⿰日寮
𪰧	ajki		ajki	⿰日宏
𣆘	ajlk		ajlk	⿰日吏
㫸	ajlo		ajlo	⿰日疌
𪱄	ajmc	1	ajmc	⿰日寅
𣊇	ajmc		ajmc	⿱日寅
𮲠	ajmd		ajmd	
𣇼	ajmf		ajmf	⿰日宗
暄	ajmm	1	ajmm	⿰日宣
𭦤	ajmo		ajmo	⿰日定
晥	ajmu		ajmu	⿰日完
𬁗	ajmw		ajmw	⿰日富
𣉡	ajneg		ajneg	⿰旱廷
𰖀	ajng		ajng	
𨚰	ajnl		aj/nl	⿰早阝
晼	ajnu		ajnu	⿰日宛
𮲨	ajoc		ajoc	
